ALE
153,55
GIN BUY 238,34 861
ALE SELL 679,57 428
POP BUY 60,09 524
POP SELL 571,34 291
GIN SELL 545,38 201
JOE BUY 132,55 727
TEA SELL 128,85 533
ALE BUY 942,86 963
POP SELL 313,26 431
TEA SELL 667,12 23
GIN SELL 943,1 277
ALE BUY 294,77 603
ALE BUY 336,47 290
GIN SELL 497,11 372
GIN BUY 607,14 880
POP SELL 59,71 177
GIN SELL 758,93 135
GIN BUY 596,76 892
JOE BUY 384,34 789
POP BUY 4,56 908
TEA BUY 49,65 283
ALE BUY 361,06 487
JOE BUY 698,21 789
GIN SELL 228,63 481
POP BUY 654,3 311
GIN SELL 566,85 152
GIN SELL 59,32 214
ALE SELL 712,67 73
ALE SELL 822,5 814
POP BUY 134,66 361
POP SELL 418,04 873
GIN SELL 918,61 718
ALE SELL 110,89 121
GIN SELL 191,38 33
POP BUY 442,95 178
JOE SELL 940,1 509
ALE SELL 62 464
ALE SELL 933,7 586
GIN BUY 225,14 987
ALE SELL 703,85 121
GIN BUY 558,92 106
GIN BUY 792,32 571
GIN SELL 908,21 639
ALE SELL 721,74 180
JOE BUY 355,68 927
GIN BUY 396,93 385
JOE BUY 744,12 715
GIN SELL 893,67 953
POP BUY 283,49 969
JOE BUY 842,02 568
POP SELL 74,77 989
TEA BUY 861,27 872
ALE BUY 632,71 430
POP BUY 753,42 184
GIN BUY 739,37 98
GIN BUY 412,34 397
ALE BUY 210,64 627
GIN BUY 655,62 782
JOE BUY 407,63 412
GIN BUY 436,05 700
ALE SELL 575,06 403
GIN SELL 139,93 439
GIN SELL 338,66 616
GIN BUY 929,01 691
GIN BUY 943,55 501
ALE SELL 333,36 385
TEA SELL 65,73 493
ALE SELL 551,99 872
TEA BUY 278,63 393
POP SELL 168,32 710
POP BUY 506,78 421
ALE BUY 237,57 519
POP BUY 48,64 61
GIN BUY 953,05 658
GIN BUY 0,64 70
ALE SELL 348,42 705
ALE SELL 164,4 242
ALE BUY 742,91 989
ALE BUY 769,18 815
JOE BUY 886,53 645
POP BUY 591,7 621
JOE SELL 12,38 944
GIN BUY 305,12 344
GIN SELL 253,01 883
POP SELL 139,51 496
ALE BUY 127,88 271
GIN BUY 185,62 985
TEA BUY 58,92 802
GIN SELL 924,03 381
POP BUY 121,35 849
ALE SELL 811,79 233
GIN BUY 486,62 973
GIN SELL 8,46 81
JOE BUY 264,63 382
GIN BUY 573,76 985
POP SELL 702,15 830
GIN BUY 718,6 720
POP BUY 944,62 688
POP SELL 941,77 982
GIN SELL 818,2 185
POP BUY 134,2 220
ALE SELL 339,2 54
ALE SELL 982,82 962
TEA BUY 907,94 65
ALE SELL 256,12 745
POP BUY 393,94 190
TEA BUY 803,3 14
POP BUY 569,65 389
JOE BUY 349,25 599
TEA SELL 599,61 250
POP SELL 417,22 643
GIN SELL 542,12 974
POP SELL 961,23 80
ALE BUY 70,46 445
ALE BUY 540,37 41
POP SELL 870,75 372
ALE BUY 116,9 791
TEA BUY 423,28 737
JOE BUY 810,18 65
GIN BUY 124,59 44
ALE SELL 188,61 912
ALE BUY 957,2 107
TEA BUY 931,37 420
JOE SELL 163,99 356
ALE BUY 942,25 921
GIN BUY 634,37 915
POP BUY 247,4 554
JOE SELL 959,17 920
TEA BUY 259,11 284
POP SELL 361,33 839
POP BUY 237,69 756
ALE SELL 959,47 757
ALE SELL 33,44 587
ALE BUY 71,22 890
POP SELL 440,65 961
TEA BUY 513,48 794
POP SELL 745,89 640
POP SELL 106,68 19
ALE SELL 302,4 763
GIN BUY 839,82 198
GIN BUY 212,69 27
TEA BUY 403,67 799
POP BUY 451,42 137
POP SELL 48,85 38
GIN BUY 10,57 619
JOE BUY 975,99 689
GIN SELL 898,84 367
POP BUY 715,02 776
POP BUY 77,51 541
JOE SELL 200,52 386
TEA BUY 664,57 673
ALE SELL 500,15 97
TEA BUY 989,3 97
JOE BUY 403,39 752
TEA BUY 329,26 64
POP BUY 327,33 568
GIN SELL 411,79 156
GIN BUY 246,81 827
ALE SELL 11,93 873
JOE SELL 605,73 625
TEA BUY 228,98 485
GIN BUY 416,74 425
ALE BUY 273,48 526
POP BUY 6,14 400
JOE BUY 846,92 549
POP SELL 111,3 806
JOE SELL 445,95 991
GIN SELL 287,28 871
JOE BUY 173,32 266
ALE SELL 830,02 938
POP BUY 887,51 458
POP SELL 672,9 853
GIN BUY 772,99 214
JOE SELL 963,8 836
JOE BUY 663,33 709
ALE BUY 279,69 317
POP BUY 699,02 798
ALE BUY 685,72 485
POP BUY 152,15 705
GIN SELL 95,94 535
POP SELL 499,84 879
TEA SELL 642,57 842
ALE BUY 78,66 872
POP BUY 10,97 568
GIN SELL 901,88 350
JOE SELL 947,21 424
ALE BUY 471,67 605
ALE BUY 395,4 582
GIN SELL 668,24 179
POP SELL 971,69 978
POP SELL 48,04 466
JOE BUY 732,11 490
JOE BUY 132,93 401
JOE SELL 441,14 728
POP SELL 522,42 600
ALE BUY 798,1 432
POP BUY 911,03 572
ALE SELL 328,46 708
JOE SELL 342,74 851
TEA BUY 896,98 592
POP BUY 284,58 180
POP SELL 49,8 681
JOE SELL 351,48 90
TEA SELL 642,42 830
POP BUY 764,23 509
TEA SELL 460,77 129
TEA SELL 872,77 244
GIN SELL 792,19 670
ALE BUY 326,73 464
GIN SELL 153,51 835
GIN BUY 725,24 539
POP SELL 633,17 94
POP SELL 828,16 852
POP BUY 554,48 545
TEA BUY 660,61 446
JOE SELL 416,99 692
POP BUY 92,94 619
ALE BUY 323,04 205
JOE BUY 728,12 833
ALE SELL 346,52 627
TEA BUY 178,62 545
GIN BUY 550,83 293
TEA BUY 64,74 829
ALE SELL 613,14 938
ALE SELL 316,51 896
TEA BUY 261,93 721
GIN SELL 611,12 886
POP SELL 984,8 678
POP SELL 27,98 532
ALE BUY 713,78 822
POP SELL 253,35 563
TEA BUY 444,82 382
GIN SELL 916,66 972
JOE SELL 998,91 927
GIN BUY 890,5 496
GIN SELL 381,49 360
GIN BUY 636,33 922
GIN BUY 447,42 12
TEA SELL 927,93 99
ALE BUY 828,47 336
ALE SELL 534,64 748
POP SELL 330,28 934
TEA BUY 696,39 451
POP SELL 255,98 905
GIN SELL 472,6 417
JOE SELL 363,37 751
GIN SELL 296,92 903
ALE BUY 412,71 334
POP BUY 319,87 389
JOE SELL 512,3 618
ALE SELL 371,46 886
TEA BUY 718,58 184
ALE SELL 625,74 971
POP BUY 598,1 766
JOE SELL 299,34 432
POP BUY 708,22 273
JOE SELL 966,06 621
GIN SELL 203,55 69
POP BUY 319,49 891
GIN BUY 25,3 465
ALE SELL 465,78 716
GIN BUY 380,4 688
ALE SELL 78,44 370
GIN BUY 467,58 796
GIN BUY 997,37 272
POP BUY 657,32 295
GIN SELL 104,07 364
JOE SELL 582,78 427
POP SELL 555,01 127
GIN BUY 848,68 386
POP SELL 705,27 108
ALE SELL 315,21 933
GIN SELL 304,51 70
GIN SELL 164,02 168
ALE BUY 797,18 121
ALE BUY 203,18 423
GIN BUY 809,1 442
POP BUY 118,4 537
POP SELL 152,4 474
GIN SELL 627,23 989
GIN BUY 930,9 682
GIN BUY 743,51 629
JOE BUY 577,86 250
POP SELL 609,05 993
JOE SELL 908,25 334
ALE BUY 599,46 456
POP BUY 517,5 719
POP SELL 661,31 680
JOE BUY 108,78 12
GIN BUY 87,53 131
POP SELL 580,8 719
POP BUY 188,18 626
TEA SELL 958,28 824
GIN SELL 563,54 164
GIN SELL 496,98 742
ALE SELL 936,63 520
ALE SELL 545,36 744
ALE BUY 752,08 348
ALE SELL 995,04 230
JOE SELL 998,55 773
ALE BUY 401,83 454
JOE BUY 961,52 721
TEA SELL 109,61 575
GIN BUY 863,67 462
ALE SELL 958,95 133
GIN SELL 599,77 117
ALE SELL 412,52 329
ALE SELL 23,17 109
GIN SELL 179,41 707
GIN BUY 490,85 795
POP SELL 670,2 116
GIN SELL 624,17 783
ALE BUY 865,08 54
JOE BUY 492,23 646
ALE BUY 426,8 760
JOE SELL 674,95 46
TEA SELL 140,6 672
GIN SELL 912,93 492
POP SELL 13,18 108
ALE SELL 300,97 222
POP SELL 612,66 292
POP BUY 232,47 957
POP SELL 481,61 72
TEA SELL 551,63 499
ALE SELL 705,16 965
ALE SELL 620,5 427
JOE SELL 966,26 370
POP BUY 257,9 369
JOE BUY 670,08 87
JOE BUY 757,3 590
JOE SELL 969,53 477
POP BUY 440,62 892
JOE SELL 774,15 899
JOE BUY 455,01 53
ALE SELL 74,07 281
ALE BUY 769,67 300
ALE SELL 161,36 929
POP SELL 579,68 553
TEA SELL 580,64 951
GIN SELL 573,9 427
ALE BUY 891,1 902
GIN SELL 774,03 234
POP BUY 571,76 508
TEA SELL 901,77 470
ALE BUY 652,28 600
GIN BUY 481,11 522
POP BUY 901,09 599
ALE SELL 132,9 591
TEA BUY 653,08 184
TEA BUY 768,6 69
ALE BUY 608,66 991
POP BUY 640,3 843
ALE BUY 186,53 470
GIN SELL 454,02 290
POP SELL 261,8 255
ALE BUY 3,39 927
ALE BUY 371,89 660
POP BUY 30,63 971
GIN BUY 721,92 172
ALE SELL 271,9 287
TEA BUY 571,8 39
GIN SELL 894,15 469
JOE SELL 837,03 338
ALE SELL 780,37 35
POP SELL 985,18 116
TEA SELL 370,28 988
JOE SELL 560,1 478
JOE SELL 13,62 207
GIN BUY 915,96 734
ALE BUY 42,93 439
ALE BUY 993,08 965
POP SELL 22,9 847
POP BUY 217,57 628
TEA SELL 883,34 381
ALE SELL 856,86 51
ALE SELL 892,81 435
TEA BUY 413,18 948
TEA BUY 679,87 548
TEA BUY 886,87 300
ALE BUY 759,06 131
JOE BUY 991,78 232
JOE SELL 268,63 450
ALE SELL 654,55 731
ALE SELL 876,98 366
TEA BUY 380,02 340
JOE SELL 64,92 564
TEA SELL 314,59 166
JOE SELL 240,79 256
POP SELL 89,78 843
TEA BUY 395,36 605
GIN BUY 777,87 286
ALE BUY 253,7 349
POP SELL 541,62 372
TEA BUY 130,89 374
JOE BUY 810,33 896
TEA SELL 948,75 207
POP SELL 63,92 422
GIN BUY 120,51 695
JOE SELL 557,46 893
GIN SELL 260,48 320
JOE SELL 567,83 111
ALE BUY 925,8 931
POP SELL 994,72 445
ALE SELL 847,28 846
JOE SELL 398,04 399
POP BUY 356,24 581
POP SELL 803,6 873
ALE SELL 964,66 693
GIN SELL 859,28 265
JOE BUY 305,29 461
ALE SELL 173,58 744
ALE SELL 889,18 423
GIN BUY 918,63 337
JOE SELL 387,26 965
ALE SELL 29,78 669
TEA SELL 393,27 496
TEA SELL 583,6 483
GIN BUY 874,97 909
JOE SELL 186,5 305
POP BUY 770,69 341
POP SELL 455,97 855
JOE BUY 438,19 458
ALE BUY 926,38 76
GIN SELL 912,94 760
GIN SELL 961,47 895
ALE SELL 182,84 637
ALE BUY 505,52 80
GIN BUY 936,31 168
ALE SELL 755,2 794
POP BUY 490,98 914
GIN SELL 84,25 727
TEA BUY 859,78 158
GIN BUY 802,82 909
ALE SELL 161,63 379
GIN BUY 583,74 566
GIN SELL 833,7 902
ALE BUY 637,55 638
GIN BUY 352,28 996
POP SELL 968,4 824
POP SELL 419,23 888
GIN BUY 292,92 252
ALE SELL 821,24 439
JOE BUY 453,98 160
POP SELL 418,58 479
GIN SELL 411,38 183
ALE BUY 970,79 11
POP BUY 141,6 115
ALE BUY 755,99 814
POP BUY 28,55 267
ALE SELL 191,05 142
ALE BUY 577,38 771
ALE SELL 909,57 537
JOE BUY 533,38 452
POP BUY 4,7 976
GIN BUY 738,02 128
ALE BUY 393,86 855
JOE SELL 304,07 453
POP SELL 512,39 532
ALE SELL 942,03 670
GIN SELL 793,14 433
POP SELL 519,68 871
GIN BUY 639,03 950
GIN SELL 186,86 654
GIN SELL 845,64 619
ALE SELL 647,63 264
GIN BUY 680,83 323
JOE BUY 411,66 598
GIN BUY 78,42 501
ALE SELL 106,95 681
ALE BUY 653,04 605
POP SELL 185,98 477
GIN BUY 493,05 295
GIN BUY 607,25 148
TEA BUY 938,63 103
ALE BUY 324,18 127
JOE SELL 802,13 566
POP SELL 663,58 612
TEA BUY 737,59 53
GIN BUY 925,56 355
JOE SELL 716,54 785
JOE BUY 786,97 845
POP SELL 817,11 778
JOE SELL 340,4 260
GIN SELL 783,45 708
GIN BUY 850,81 799
GIN BUY 62,52 922
POP BUY 561,69 253
POP BUY 275,22 97
GIN SELL 132,99 927
POP BUY 329 276
POP BUY 542,63 292
ALE SELL 628,91 271
JOE BUY 533,82 952
GIN BUY 94,07 678
GIN SELL 940,02 821
GIN SELL 936,74 982
TEA BUY 469,77 597
JOE BUY 410,87 498
ALE BUY 783,29 914
JOE BUY 987,24 132
ALE BUY 942,92 774
ALE SELL 662,22 204
GIN BUY 569,42 129
TEA SELL 357,17 818
POP SELL 286,22 727
POP BUY 615,47 515
TEA BUY 283,57 570
ALE SELL 54,3 208
GIN SELL 84,62 631
TEA BUY 278,1 624
POP SELL 845,56 650
JOE SELL 210,87 751
ALE SELL 771,79 156
GIN SELL 54,15 20
TEA SELL 482,06 67
ALE BUY 327,93 220
TEA SELL 402,82 473
POP SELL 701,36 375
POP BUY 524,61 484
GIN SELL 570,38 82
ALE BUY 102,59 234
ALE BUY 589,21 28
GIN SELL 133,38 423
TEA BUY 612,85 707
POP BUY 689,93 998
GIN SELL 757,57 538
ALE BUY 446,79 849
JOE SELL 536,32 904
POP BUY 977,58 615
ALE SELL 276,3 828
JOE BUY 656,8 982
POP BUY 275,54 290
GIN SELL 247,95 73
POP SELL 405,55 408
ALE BUY 510,08 802
TEA SELL 117,24 992
ALE SELL 404,64 298
TEA SELL 56,82 180
POP BUY 734,89 767
GIN SELL 749,1 180
ALE SELL 299,7 407
GIN SELL 54,85 323
GIN BUY 893,81 232
POP BUY 359,52 935
GIN BUY 736,75 926
ALE BUY 700,26 765
POP BUY 162,16 85
POP SELL 288,17 945
ALE BUY 649,84 462
ALE SELL 133,02 735
POP BUY 532,31 81
POP SELL 727,28 533
POP BUY 958,09 328
POP BUY 996,61 890
POP SELL 943,66 387
JOE SELL 973,79 521
GIN SELL 596,11 631
ALE SELL 903,08 539
POP BUY 838,52 833
POP BUY 732,2 424
JOE SELL 220,2 312
POP BUY 198,76 433
POP BUY 643,65 371
POP BUY 968,28 474
JOE BUY 90,38 648
POP BUY 530,86 648
JOE BUY 677,66 240
ALE BUY 813,46 980
JOE BUY 628,1 708
TEA SELL 714,82 46
GIN BUY 984,19 339
ALE BUY 20,13 515
POP BUY 149,84 265
JOE BUY 402,4 816
TEA BUY 590,83 307
GIN BUY 467,6 441
POP SELL 276,41 667
JOE SELL 50,6 604
TEA SELL 693,83 808
JOE SELL 218,91 261
POP BUY 518,09 165
POP SELL 691,33 714
POP BUY 268,65 524
GIN SELL 628,4 304
TEA SELL 535,5 198
GIN SELL 1,89 905
POP SELL 606,2 358
TEA SELL 0,09 246
JOE SELL 576,3 133
GIN SELL 176,22 256
ALE SELL 274,91 342
TEA SELL 296,77 958
GIN BUY 587,62 967
JOE SELL 96,91 623
POP SELL 8,63 747
POP BUY 399,97 189
JOE SELL 504,33 478
POP SELL 308,03 173
ALE BUY 20,19 911
GIN SELL 420,63 577
TEA SELL 213,04 340
ALE BUY 288,69 503
ALE SELL 240,84 261
POP BUY 560,57 500
ALE SELL 691,88 695
ALE BUY 527,43 840
POP SELL 985,47 57
GIN BUY 24,78 251
POP SELL 826,15 676
GIN SELL 897,39 817
TEA BUY 543,53 326
GIN BUY 484,46 48
JOE SELL 399,61 391
GIN SELL 832,22 347
POP BUY 195,82 517
ALE BUY 590,83 379
JOE BUY 761,65 869
ALE BUY 802,78 60
TEA SELL 157,01 358
GIN SELL 39,72 172
TEA BUY 670,25 450
ALE BUY 594,69 833
POP BUY 943,97 417
GIN BUY 687 305
POP SELL 810,62 147
POP SELL 886,54 901
POP SELL 669,86 876
POP BUY 214,73 943
TEA BUY 489,77 453
ALE BUY 629,02 49
JOE BUY 763,99 6
ALE BUY 848,09 206
JOE SELL 6,7 113
POP BUY 724,69 384
ALE BUY 617,53 854
POP BUY 623,14 676
GIN BUY 198,5 347
ALE SELL 508,65 194
TEA SELL 654,9 635
TEA BUY 705,31 227
TEA SELL 662,19 37
TEA BUY 529,94 380
JOE SELL 331,02 329
POP BUY 258,71 695
JOE BUY 152,28 363
JOE BUY 133,68 984
JOE SELL 554,3 991
GIN SELL 366,18 873
GIN BUY 654,21 404
POP BUY 344,1 283
POP SELL 35,45 258
ALE BUY 500,18 344
GIN SELL 633,53 187
POP BUY 548,23 979
GIN BUY 62,02 576
GIN SELL 44,41 643
TEA BUY 960,82 704
GIN BUY 480,47 962
GIN BUY 198,76 622
GIN BUY 366,2 251
GIN BUY 12,47 377
TEA BUY 7,85 159
GIN BUY 413,74 442
POP BUY 939,77 921
GIN SELL 447,15 481
POP BUY 216,17 964
GIN SELL 130,27 787
GIN BUY 20,15 839
POP BUY 158,18 32
ALE BUY 296,86 748
GIN BUY 704,61 168
ALE SELL 368 112
POP SELL 901,54 621
GIN SELL 734,6 959
TEA BUY 829,39 106
GIN BUY 525,09 91
GIN SELL 99,78 713
GIN SELL 295,78 290
GIN SELL 362,92 96
GIN SELL 140,68 28
GIN BUY 321,66 899
POP SELL 317,73 444
GIN SELL 84,2 776
ALE SELL 848,58 560
JOE SELL 937,55 609
TEA BUY 798,69 973
POP SELL 873,71 807
GIN SELL 195,09 528
POP BUY 450,66 776
POP BUY 788,59 694
TEA BUY 820,08 948
JOE SELL 117,62 632
JOE BUY 4,03 960
ALE BUY 580,62 205
ALE SELL 752,4 857
TEA BUY 474,15 407
POP BUY 563,29 435
ALE BUY 203,57 958
GIN SELL 698,4 80
TEA BUY 123,48 43
GIN BUY 275,22 721
GIN BUY 714,92 439
TEA SELL 768,41 759
POP SELL 56,23 529
TEA SELL 502,05 83
JOE SELL 794,81 912
ALE BUY 965,06 543
GIN BUY 76,63 635
ALE SELL 31,64 483
ALE SELL 140,65 251
POP BUY 418,82 209
GIN SELL 535,09 219
ALE SELL 963,29 490
POP BUY 162,63 359
ALE BUY 549,24 481
ALE BUY 611,58 374
ALE BUY 769,51 645
POP SELL 479,97 659
TEA SELL 652,02 572
ALE BUY 649,74 899
GIN BUY 33,39 786
POP SELL 717,89 178
JOE SELL 411,91 915
ALE BUY 41,8 610
GIN SELL 361,88 829
GIN SELL 105,51 704
POP SELL 841,28 614
POP SELL 164,31 976
GIN BUY 974,83 502
TEA SELL 374,35 528
ALE SELL 144,55 99
GIN SELL 864,58 591
POP BUY 469,74 548
GIN SELL 457,77 271
GIN BUY 8,42 481
POP BUY 997,97 979
GIN BUY 262,39 866
GIN BUY 491,08 291
POP SELL 817,77 126
ALE SELL 515,91 226
POP SELL 203,16 130
GIN SELL 612,49 169
ALE BUY 297,46 929
GIN BUY 604,77 948
JOE BUY 869,24 347
JOE BUY 64,83 781
ALE SELL 79,88 790
ALE BUY 375,4 94
POP SELL 32,45 884
JOE SELL 98,02 451
GIN SELL 698,23 810
ALE BUY 603,57 71
JOE BUY 803,08 446
GIN SELL 172,41 686
GIN SELL 505,62 683
ALE SELL 21,11 713
TEA BUY 949,25 517
ALE BUY 962,75 992
TEA BUY 19,99 800
TEA BUY 657,87 572
GIN BUY 892,29 746
GIN SELL 663,1 274
POP SELL 194,72 560
TEA BUY 734,46 47
ALE SELL 877,69 807
ALE BUY 92,42 315
ALE SELL 115,1 383
GIN SELL 605,73 845
ALE SELL 822,03 199
ALE SELL 100,99 841
ALE BUY 620,55 940
ALE BUY 255,11 271
GIN SELL 335,52 518
POP BUY 777,58 664
ALE BUY 352,62 79
TEA SELL 839,64 850
JOE SELL 420,42 675
ALE BUY 957,4 410
GIN SELL 728,77 966
GIN SELL 785,86 785
ALE SELL 345,23 574
ALE BUY 530,91 328
ALE BUY 341,95 929
ALE SELL 936,41 743
GIN SELL 194,63 752
ALE BUY 53,25 683
POP SELL 285,94 510
GIN BUY 247,49 475
ALE SELL 595,21 471
POP BUY 154,64 224
GIN SELL 906,48 224
GIN BUY 537,04 767
GIN BUY 117,02 766
POP BUY 251,43 242
JOE BUY 478,18 527
TEA SELL 783,7 225
JOE BUY 850,84 953
JOE BUY 57,94 710
GIN BUY 307,22 488
POP BUY 476,62 389
POP SELL 661,29 96
GIN SELL 399,19 996
GIN BUY 759,78 667
JOE SELL 515,94 682
GIN SELL 615,67 925
TEA BUY 824,25 671
